station,latitute,longitude,elevation,2020
57328099999,31.2,107.5,344.0,18.135397692774735
71393099999,51.1,-114.0,1081.0,4.551305403764421
71670099999,46.77,-65.0,34.0,6.410291438979965
95658099999,-30.4833333,136.8833333,100.0,19.816180935033398
89266099999,-72.2,-60.1666666,115.0,-16.02954755309326
71446099999,50.2666666,-107.7333333,825.0,4.237249544626592
38880099999,37.986814,58.360967,210.92,17.2235883424408
72211454901,45.15917,-93.84333,294.7,7.734517304189434
89050099999,-62.1833333,-58.8833333,14.0,-1.7269570707070712
72203163839,34.26889,-86.85833,293.5,15.923936333027244
07027099999,49.173333,-0.45,78.02,11.975409836065577
74206024207,47.15,-122.48333,98.1,11.024741955069821
47681099999,34.750239,137.703083,45.72,17.31466302367942
15297099999,45.4333333,23.6333333,1350.0,4.907103825136613
47648099999,35.7333333,140.85,28.1,16.614450516089857
72747704970,48.85583,-95.69694,322.8,4.838038858530662
91186022534,21.15448,-157.09612,134.2,24.49574984820887
72537614853,42.23666,-83.52638,215.7,11.80722525804493
02744099999,61.5,23.7666666,92.0,7.977079538554948
17292099999,37.2166666,28.3666666,646.0,16.874620522161507
02869099999,65.987575,29.239381,263.95,2.663934426229508
07482099999,45.987335,5.328445,250.85,12.502732240437158
42895099999,21.5166666,86.9333333,20.0,26.52398299939283
47154099999,36.1166666,128.3166666,47.0,13.942774741955068
72598524267,42.07444,-124.29,139.9,12.204822954822951
40859099999,28.891756,53.723339,1298.75,19.27868852459017
72367723054,35.65582,-105.13853,2094.0,10.970856102003646
17547099999,35.5833333,34.3833333,136.0,20.12029256146903
71500099999,53.8166666,-114.5333333,670.0,3.3816758747697957
48465099999,12.9994444,100.0666666,3.77,28.968123861566482
60120099999,34.3,-6.6,6.0,17.96692357096981
72272803196,31.42076,-110.84655,1193.0,18.99408014571949
72421093814,39.04443,-84.67241,262.4,13.34289617486338
06484099999,49.6166666,5.5833333,324.0,10.459775349119614
14544099999,44.0666666,17.4666666,566.0,12.256223436551307
94835099999,-37.2333333,143.2,875.0,10.270795385549484
98536099999,12.5833333,122.2833333,47.0,26.91317547055252
58569099999,29.2,121.95,127.0,18.012143290831816
96001099999,5.874131,95.339672,113.0,27.291135397692774
11157099999,47.5333333,14.1333333,649.0,8.273527625986645
14258099999,45.6,17.2333333,161.0,12.955828779599269
72591024216,40.15186,-122.25478,108.0,18.634031572556157
41291099999,19.5166666,57.65,102.0,26.021120293847567
48379099999,16.676028,101.195108,137.16,28.926077717061325
76679399999,19.436303,-99.072097,2229.91,18.157710989678197
96237099999,-2.17,106.13,34.0,27.132210078931386
96001199999,1.2166667,111.45,11.0,26.842744383727993
72616354770,42.80667,-72.00126,308.4,9.2498482088646
16294099999,40.55,14.25,269.0,18.277930402930405
84564099999,-9.878811,-76.204797,1850.13,23.158469945355193
96147099999,3.908714,108.387897,2.13,28.369646182495348
91551099999,-13.85,167.55,18.0,27.687118437118436
48838099999,21.5166667,107.9666667,7.0,24.13835616438356
37549099999,41.75,44.7666666,427.0,14.7041590771099
22867099999,61.0833333,42.0666666,91.0,4.870522161505768
41128099999,17.611436,44.419169,1213.71,26.13023679417122
98646099999,10.307542,123.979439,9.44,28.31132361870067
72037713917,35.63333,-91.16667,72.8,15.610048573163324
84752099999,-16.341072,-71.583083,2561.84,18.03248330297511
03604099999,51.7,-5.05,32.0,11.369505494505493
11227099999,46.7166666,14.1,551.0,9.639192471159678
94374099999,-23.381944,150.475278,10.36,23.123709775349123
60250099999,30.381353,-9.546311,27.12,20.213580246913587
86757099999,-17.5666666,-47.2,1001.5,21.677747419550705
72389523149,36.02944,-119.0625,134.7,17.91046831955923
07607099999,43.911667,-0.5075,61.87,13.94535519125683
72059600189,34.3,-81.633,173.1,17.05890410958905
48356599999,17.195142,104.118625,161.23,28.107316332726164
87347099999,-31.444744,-64.283061,502.0,19.500000000000007
72074924255,48.35,-122.66667,14.3,11.076958105646632
10637099999,50.026421,8.543125,110.94,12.205069823922278
31253099999,54.7166666,128.8666666,364.0,-2.426381299332119
59209099999,23.3,105.95,794.0,19.294474802671527
